Movie Title,Worldwide Box Office,International Box Office,Domestic Box Office,Total Expert Reviews,Avg Expert Score,Avg Positive Emotion
JeruZalem,52225.00,52225.00,n/a,7,4.8571428571428571,3.1385714285714286
In Darkness,236409.00,236409.00,n/a,7,7.0000000000000000,2.4500000000000000
Wind Chill,,,31388.00,7,6.0000000000000000,4.7371428571428571
Headshot,49783.00,49783.00,n/a,7,6.5714285714285714,2.0685714285714286
Saints and Soldiers,,,1310470.00,7,8.4285714285714286,2.3171428571428571
Love Me If You Dare,8387030.00,7838323.00,548707.00,7,9.1428571428571429,0.95285714285714285714
We Are What We Are,353070.00,271689.00,81381.00,7,5.7142857142857143,3.5942857142857143
Bamboozled,2373937.00,188671.00,2185266.00,7,5.5714285714285714,2.9914285714285714
Modigliani,,,208507.00,7,6.0000000000000000,8.2385714285714286
Foxtrot,2493284.00,1875312.00,617972.00,7,6.0000000000000000,3.5700000000000000
Come True,70366.00,8286.00,62080.00,7,5.8571428571428571,4.9114285714285714
The Road to Guantanamo,1078635.00,751759.00,326876.00,7,6.5714285714285714,4.9328571428571429
Air Guitar Nation,83650.00,12179.00,71471.00,7,7.7142857142857143,3.5485714285714286
Little Fish,3222453.00,3200000.00,22453.00,7,7.2857142857142857,3.5457142857142857
Hidalgo,108086731.00,40800000.00,67286731.00,7,6.1428571428571429,2.5371428571428571
Side by Side,67054.00,8229.00,58825.00,7,8.0000000000000000,0.36714285714285714286
Earthquake Bird,,,n/a,7,7.8571428571428571,2.2300000000000000
Screwed,,,6982680.00,7,5.7142857142857143,4.7685714285714286
The Hunter,179048.00,2379.00,176669.00,7,7.0000000000000000,1.04285714285714285714
Land,3170075.00,592245.00,2577830.00,7,4.5714285714285714,2.3385714285714286
Just Wright,21867665.00,327302.00,21540363.00,7,5.2857142857142857,0.73285714285714285714
The Man,10393696.00,2062976.00,8330720.00,7,5.8571428571428571,5.8100000000000000
Vulgar,,,14904.00,7,2.2857142857142857,5.1914285714285714
Intruders,5818427.00,5770061.00,48366.00,7,5.5714285714285714,4.1671428571428571
Little Fish,3222453.00,3200000.00,22453.00,7,6.0000000000000000,3.0342857142857143
Corpus Christi,267549.00,267549.00,n/a,7,8.1428571428571429,2.1600000000000000
Miss Bala,427815.00,387275.00,40540.00,7,6.2857142857142857,3.9742857142857143
This Beautiful Fantastic,297066.00,297066.00,n/a,7,7.1428571428571429,1.8942857142857143
The Loneliest Planet,244720.00,115141.00,129579.00,7,4.4285714285714286,2.9900000000000000
Listen Up Philip,228263.00,28137.00,200126.00,7,5.4285714285714286,3.1785714285714286
Driving Lessons,,,239962.00,7,7.8571428571428571,1.3714285714285714
The Good Doctor,16448.00,11242.00,5206.00,7,5.5714285714285714,1.03142857142857142857
Before the Fall,,,144254.00,7,8.1428571428571429,3.4071428571428571
Thunder Road,448184.00,448184.00,n/a,7,7.0000000000000000,0.98428571428571428571
The White Crow,10857680.00,9030076.00,1827604.00,7,7.0000000000000000,1.2128571428571429
Fido,456814.00,158704.00,298110.00,7,7.7142857142857143,2.8557142857142857
Liberal Arts,1143950.00,824774.00,319176.00,7,7.8571428571428571,0.44285714285714285714
Tetro,,,518522.00,7,7.8571428571428571,1.00714285714285714286
Cutie and the Boxer,204934.00,5660.00,199274.00,7,6.8571428571428571,1.3614285714285714
Storytelling,2024522.00,1112080.00,912442.00,7,7.2857142857142857,2.7271428571428571
That Sugar Film,2382983.00,2379483.00,3500.00,7,6.7142857142857143,2.2200000000000000
The Haunted Mansion,155750628.00,79932634.00,75817994.00,7,4.5714285714285714,1.4457142857142857
Resurrecting the Champ,3260555.00,88173.00,3172382.00,7,7.2857142857142857,1.7585714285714286
Come Away,1746860.00,1562383.00,184477.00,7,3.4285714285714286,3.3157142857142857
Becks,,,n/a,7,8.7142857142857143,1.5000000000000000
Confessions of a Dangerous Mind,33013805.00,17006087.00,16007718.00,7,6.4285714285714286,1.3600000000000000
Old Henry,,,42068.00,6,7.1666666666666667,2.0650000000000000
The Dissident,111760.00,54760.00,57000.00,6,6.5000000000000000,2.2583333333333333
Spider,,,1641788.00,6,9.5000000000000000,0.52000000000000000000
Marley,5319734.00,3906254.00,1413480.00,6,7.6666666666666667,0.58333333333333333333
"Sorry, Haters",,,6364.00,6,7.1666666666666667,3.0633333333333333
Girl,8719182.00,8719182.00,n/a,6,7.0000000000000000,1.04000000000000000000
The Comedy,,,41113.00,6,8.1666666666666667,3.6283333333333333
Impostor,7974607.00,1860370.00,6114237.00,6,8.1666666666666667,1.5900000000000000
The Confirmation,33006.00,33006.00,n/a,6,7.0000000000000000,1.6816666666666667
Saving Face,1269705.00,82439.00,1187266.00,6,7.6666666666666667,0.78833333333333333333
Beyond the Sea,8292914.00,2148108.00,6144806.00,6,6.5000000000000000,2.4950000000000000
Kaboom,126851.00,7932.00,118919.00,6,5.6666666666666667,2.6383333333333333
See Spot Run,43057552.00,9700076.00,33357476.00,6,6.6666666666666667,2.4000000000000000
The Only Living Boy in New York,2056158.00,1431826.00,624332.00,6,5.0000000000000000,1.6366666666666667
I Saw the Light,1767963.00,121175.00,1646788.00,6,5.8333333333333333,0.93833333333333333333
Giant Little Ones,,,14500.00,6,6.5000000000000000,1.5300000000000000
Take the Lead,65390493.00,30648427.00,34742066.00,6,5.1666666666666667,0.98833333333333333333
The Guernsey Literary and Potato Peel Pie Society,19096814.00,19096814.00,n/a,6,7.3333333333333333,1.1983333333333333
The Electrical Life of Louis Wain,976289.00,976289.00,n/a,6,8.1666666666666667,2.2133333333333333
Amreeka,,,627436.00,6,8.5000000000000000,2.5333333333333333
Bloody Sunday,,,773228.00,6,8.1666666666666667,1.1733333333333333
Flypaper,1172291.00,1167248.00,5043.00,6,7.8333333333333333,2.0666666666666667
Frida,56131239.00,30246239.00,25885000.00,6,8.0000000000000000,2.4100000000000000
Beauty Shop,38351350.00,2000000.00,36351350.00,6,4.5000000000000000,6.6300000000000000
