Movie Title,Opening Weekend,Avg Expert Score,Avg User Score
Torque,9970557.00,47.4137931034482759,5.0000000000000000
Proud Mary,9959053.00,40.7391304347826087,4.0000000000000000
Free Fire,994430.00,65.5384615384615385,6.6666666666666667
Dark Water,9939251.00,56.6285714285714286,5.1538461538461538
High Life,99341.00,77.8809523809523810,5.1388888888888889
Coffee and Cigarettes,99162.00,68.0000000000000000,5.6666666666666667
47 Ronin,9910310.00,33.9047619047619048,6.2295081967213115
The Debt,9909499.00,67.5405405405405405,6.2391304347826087
Paris Can Wait,98850.00,53.2800000000000000,4.6250000000000000
The Night Before,9880536.00,59.8387096774193548,5.7027027027027027
Ghost World,98791.00,87.1612903225806452,8.4347826086956522
Every Day,9857.00,50.9230769230769231,10.0000000000000000
Sukiyaki Western Django,9856.00,55.5384615384615385,7.1250000000000000
The Sitter,9851435.00,42.1379310344827586,5.5862068965517241
Beastly,9851102.00,43.3076923076923077,5.6896551724137931
Our Kind of Traitor,984698.00,59.9666666666666667,6.2307692307692308
Mondovino,9840.00,69.3846153846153846,7.0000000000000000
Kill List,9838.00,68.7727272727272727,5.8750000000000000
The Sisterhood of the Traveling Pants,9833340.00,68.2058823529411765,7.9166666666666667
Genius,98274.00,60.4782608695652174,6.4166666666666667
3,9821.00,57.6428571428571429,0E-20
Some Kind of Heaven,9820.00,76.7777777777777778,10.0000000000000000
An Unreasonable Man,9813.00,76.5000000000000000,8.5000000000000000
The Star,9812674.00,45.6666666666666667,6.2222222222222222
The Gallows,9808463.00,34.6363636363636364,2.9655172413793103
28 Weeks Later,9807292.00,78.0588235294117647,6.6078431372549020
Greener Grass,9804.00,72.3750000000000000,7.0000000000000000
Donnybrook,9802.00,56.5333333333333333,2.5000000000000000
Point Break,9800252.00,38.7142857142857143,4.4516129032258065
Little Children,97953.00,77.3529411764705882,7.7142857142857143
Draft Day,9783603.00,57.8181818181818182,6.3461538461538462
Silent Night,9780.00,55.4545454545454545,5.6363636363636364
A Kind of Murder,978.00,53.5714285714285714,5.6666666666666667
Safety Not Guaranteed,97762.00,73.3870967741935484,7.3255813953488372
Prince of Broadway,9770.00,60.0000000000000000,7.5000000000000000
"Definitely, Maybe",9764270.00,62.8181818181818182,6.5757575757575758
The Climb,97639.00,83.5000000000000000,6.5000000000000000
In the Cut,97625.00,51.3947368421052632,6.7500000000000000
First Reformed,97562.00,85.3958333333333333,7.3584905660377358
Under the Tuscan Sun,9751425.00,57.1142857142857143,8.3333333333333333
Deliver Us from Evil,9740471.00,87.1304347826086957,8.2222222222222222
Long Shot,9740064.00,69.8888888888888889,5.2031250000000000
Love and Other Drugs,9739161.00,58.6578947368421053,5.7906976744186047
The Spy Next Door,9726056.00,34.1428571428571429,3.5263157894736842
Last Chance Harvey,97260.00,61.4074074074074074,6.1428571428571429
The Adventures of Tintin,9720993.00,71.4000000000000000,7.7972027972027972
Becoming Jane,972066.00,60.0588235294117647,7.1333333333333333
The Soloist,9716458.00,64.5151515151515152,7.1282051282051282
See Spot Run,9715102.00,27.9565217391304348,6.6666666666666667
Pig,970935.00,82.4102564102564103,6.8833333333333333
A Good Woman,97060.00,57.6551724137931034,7.0000000000000000
The Boys of Baraka,9705.00,73.4000000000000000,8.3333333333333333
The Beauty Academy of Kabul,9704.00,70.5000000000000000,2.0000000000000000
My Cousin Rachel,969941.00,65.4117647058823529,5.9166666666666667
Touching the Void,96973.00,82.5294117647058824,9.0000000000000000
The Hills Have Eyes II,9686362.00,39.4444444444444444,4.7222222222222222
Computer Chess,9683.00,75.5384615384615385,4.6666666666666667
Aloha,9670235.00,43.7777777777777778,4.0625000000000000
Sweat,966.00,75.0714285714285714,6.3333333333333333
Red Rocket,96593.00,77.0227272727272727,5.1818181818181818
Miss Potter,9653.00,62.0344827586206897,7.0000000000000000
U2 3D,964315.00,84.1578947368421053,8.7200000000000000
Cursed,9633085.00,36.7142857142857143,7.8333333333333333
The Mighty Macs,963221.00,52.1578947368421053,7.0000000000000000
Manifesto,9628.00,72.8095238095238095,6.6666666666666667
By the Sea,96250.00,49.0285714285714286,5.0909090909090909
Cloud Atlas,9612247.00,58.8666666666666667,7.5000000000000000
The Wicker Man,9610204.00,43.1052631578947368,3.3088235294117647
Game 6,9610.00,59.9500000000000000,9.0000000000000000
Beneath the Darkness,9600.00,27.5000000000000000,4.0000000000000000
The Awakening,95933.00,55.5416666666666667,6.8333333333333333
Kites,959329.00,65.3076923076923077,7.0000000000000000
Daylight,959.00,70.7142857142857143,6.0000000000000000
Dot the I,9581.00,46.5000000000000000,8.6000000000000000
Blair Witch,9576057.00,52.4390243902439024,4.4307692307692308
The Business of Being Born,9574.00,69.0000000000000000,5.7500000000000000
The Happytime Murders,9532425.00,33.6875000000000000,4.5111111111111111
Limelight,9529.00,58.0000000000000000,7.0000000000000000
Brick Mansions,9516855.00,44.8214285714285714,5.0769230769230769
Runoff,9515.00,68.3333333333333333,10.0000000000000000
Superhero Movie,9510297.00,38.5714285714285714,4.7755102040816327
Active Measures,9509.00,68.6666666666666667,7.5000000000000000
Good,9508.00,46.5625000000000000,8.3333333333333333
Wild Mountain Thyme,94989.00,46.7931034482758621,3.3333333333333333
Two Lovers,94986.00,74.3333333333333333,7.3333333333333333
A Field in England,9498.00,73.4210526315789474,8.5000000000000000
Gangs of New York,9496870.00,73.4615384615384615,7.6346153846153846
Solitary Man,94936.00,70.5806451612903226,5.0000000000000000
A Guide to Recognizing Your Saints,94784.00,69.3600000000000000,6.8125000000000000
Cracks,9467.00,57.3333333333333333,5.6666666666666667
Yi Yi,9456.00,91.9600000000000000,7.9444444444444444
Keanu,9453224.00,66.4000000000000000,6.6410256410256410
Sympathy for Delicious,9448.00,50.0000000000000000,10.0000000000000000
Sanctum,9447930.00,48.5454545454545455,4.2195121951219512
Nerve,9445456.00,62.3636363636363636,6.2549019607843137
Lincoln,944308.00,84.3863636363636364,7.3138297872340426
Tennessee,9438.00,46.8750000000000000,10.0000000000000000
Sorry We Missed You,9436.00,82.7241379310344828,7.5555555555555556
Eight Crazy Nights,9434175.00,32.4444444444444444,4.2631578947368421
Guardians of the Galaxy,94320883.00,77.7169811320754717,8.1819699499165275
The Sweetest Thing,9430667.00,39.2000000000000000,3.5000000000000000
The Tigger Movie,9427532.00,58.4782608695652174,8.0000000000000000
Zero Motivation,9427.00,73.2222222222222222,10.0000000000000000
August Rush,9421369.00,45.2222222222222222,7.3448275862068966
Kill the Messenger,941809.00,62.7222222222222222,6.8571428571428571
Bless the Child,9413684.00,25.7777777777777778,5.2500000000000000
Skills Like This,9413.00,50.2500000000000000,9.6666666666666667
The Losers,9406348.00,48.4375000000000000,6.5588235294117647
Freedom Writers,9405582.00,64.7931034482758621,7.7222222222222222
Alexandra,9401.00,85.0769230769230769,6.9090909090909091
In the Bedroom,93972.00,85.9354838709677419,8.2222222222222222
Lord of War,9390144.00,65.6129032258064516,6.8974358974358974
Justice League,93842239.00,49.2692307692307692,6.1236959761549925
Stevie,9383.00,73.7826086956521739,9.5000000000000000
Captain Fantastic,93824.00,71.8888888888888889,6.6181818181818182
The Company,93776.00,72.5937500000000000,2.4000000000000000
Vulgar,9377.00,11.5000000000000000,2.2857142857142857
Johnson Family Vacation,9375307.00,35.8750000000000000,7.5000000000000000
Mickey and the Bear,9375.00,80.4615384615384615,5.5000000000000000
Denial,93728.00,66.4117647058823529,5.7692307692307692
We Bought a Zoo,9360434.00,60.5250000000000000,6.6363636363636364
Your Highness,9360020.00,35.9393939393939394,5.1692307692307692
Sixty Six,9359.00,60.0000000000000000,6.3333333333333333
American Gun,9355.00,52.8571428571428571,5.0000000000000000
Lake City,9355.00,38.0833333333333333,5.5000000000000000
Killer Elite,9352008.00,48.6551724137931034,5.3783783783783784
Jay and Silent Bob Reboot,93520.00,52.4285714285714286,4.4482758620689655
Confessions of a Teenage Drama Queen,9350572.00,39.7826086956521739,5.8571428571428571
For Sama,9350.00,89.6111111111111111,9.0000000000000000
The Man Who Cried,93455.00,46.3181818181818182,6.3333333333333333
Elephant,93356.00,72.4594594594594595,5.8378378378378378
The International,9331739.00,56.7941176470588235,5.6206896551724138
Last Passenger,9326.00,68.1818181818181818,5.8000000000000000
Mistress America,93206.00,76.0952380952380952,5.9583333333333333
Godzilla,93188384.00,64.7708333333333333,6.3901960784313725
Indignation,93125.00,77.5714285714285714,6.5454545454545455
Cheaper by the Dozen 2,9309387.00,40.3750000000000000,3.6315789473684211
Winchester,9307626.00,34.7222222222222222,4.1153846153846154
Murder by Numbers,9307394.00,55.1428571428571429,4.3333333333333333
Sunshine State,93072.00,69.6250000000000000,8.5000000000000000
Freshman Orientation,930.00,46.2222222222222222,4.7500000000000000
Olympic Dreams,9290.00,62.0833333333333333,4.0000000000000000
The Illusionist,927956.00,70.5675675675675676,8.0423728813559322
It Might Get Loud,92679.00,72.9259259259259259,7.6250000000000000
21 Bridges,9261268.00,55.3125000000000000,6.5000000000000000
Lost in Translation,925087.00,88.8636363636363636,7.1037037037037037
Brother to Brother,9245.00,60.8888888888888889,10.0000000000000000
Holy Hell,9238.00,66.8666666666666667,7.0000000000000000
12 Years a Slave,923715.00,94.4385964912280702,7.9427312775330396
Angel Eyes,9225575.00,45.5714285714285714,7.0000000000000000
Sleeping Beauty,9207.00,59.1000000000000000,4.8888888888888889
Equals,9206.00,49.0740740740740741,4.4615384615384615
Finding You,920476.00,43.6666666666666667,6.0000000000000000
